smiles,Gap
C=Cc1ccc2c3ccc(C=Cc4ccc(-c5ccc(C6=C(C)C(C)=C(c7ccc(-c8cccs8)s7)S6(=O)=O)s5)s4)cc3n(-c3ccc(OC)cc3)c2c1,2.0
Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6cc7c(cc6C(C)(C)C5=C4)-c4sccc4C7(C)C)s3)s2)sc1-c1cccs1,2.0
COc1c2ccsc2c(OC)c2c1=S=C(c1cc(C)c(-c3sc(-c4nc(C)c(-c5sccc5C)s4)nc3C)s1)C=2,1.99
Cc1ccsc1-c1sc(-c2sc(C3=S=C(c4sccc4C)C=C3C)cc2C)c2nc3c4ccccc4c4ccccc4c3nc21,
CSc1ccc(-c2ccc(-c3ccc([Si](c4ccc(-c5ccc(-c6ccc(SC)s6)s5)s4)(c4ccc(-c5ccc(-c6ccc(SC)s6)s5)s4)c4ccc(-c5ccc(-c6ccc(SC)s6)s5)s4)s3)s2)s1,
CN1C(=O)c2csc(-c3cc4c(s3)-c3sccc3[Si]4(C)C)c2C1=O,1.705555556
CC1=CC(c2cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)s2)=S=C1,1.9
Cc1ccsc1-c1nc2sc(-c3sc(-c4cc(C)c(-c5nc6sc(-c7sccc7C)nc6s5)s4)cc3C)nc2s1,
Cc1cc2c3cc(C)sc3c3nc4c(-c5ccc(-c6ccc7c8ccccc8n(C)c7c6)s5)ccc(-c5cccs5)c4nc3c2s1,
COc1c2ccsc2c(OC)c2c1=S=C(c1cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6ccc(-c7sccc7C)s6)s5)nc4C)s3)s1)C=2,1.96
COc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)s4)c3nc2-c2ccc(OC)cc2)cc1,
Cc1cc(C=C2C(=O)c3ccccc3C2=O)sc1-c1cc(C)c(-c2ccc(-c3sc(C4=S=C(C=C5C(=O)c6ccccc6C5=O)C=C4C)cc3C)s2)s1,1.56
Cn1c2ccsc2c2sc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc21,1.13
COC(=O)c1cc2csc(-c3ccc(-c4ccc(-c5sc(-c6ccc(-c7sccc7C)s6)cc5C)s4)s3)c2s1,1.31
Cc1cc(C=C2C(=O)c3ccccc3C2=O)sc1-c1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(C6=S=C(C=C7C(=O)c8ccccc8C7=O)C=C6C)cc5C)cc4C)s3)s2)s1,1.49
Cc1cc(-c2c3cc(-c4cccs4)sc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc(-c5ccc6c(c5F)N(C)C(=O)C6=C5c6cccc(F)c6N(C)C5=O)s4)sc32)sc1C,
Cc1cc(-c2c3ccsc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc5c(c4)N(C)C(=O)C5=C4c5ccccc5N(C)C4=O)sc32)sc1C,1.56
COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(OC)c5ccsc5c6OC)s4)c3nc2-c2cccc(OC)c2)c1,1.74
COc1c2ccsc2c(OC)c2cc(-c3scc4sc(C(C)=O)cc43)sc21,
COc1cccc(C2N=c3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)s4)c3=NC2c2cccc(OC)c2)c1,1.9
CC1(C)c2ccccc2-c2ccc(-c3cc4c5cccc6c7cccc8c9cc(-c%10ccc%11c(c%10)C(C)(C)c%10ccccc%10-%11)cc%10c%11cccc%12c%13cccc%14c(c3)c4c3c(c65)c(c78)c(c9%10)c(c%12%11)c3c%13%14)cc21,
CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,
COC(=O)c1cc2c(-c3cccs3)sc(-c3ccc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)c2s1,1.61
CC(=O)c1cc2c(csc2-c2cc3c(s2)c2sccc2c(C)c3C)s1,1.55
COc1c(OC)c(-c2ccc(-c3ccc(-c4ccc5c6ccccc6n(C)c5c4)s3)s2)c2nsnc2c1-c1ccc(-c2cccs2)s1,1.93
Cc1ccsc1-c1sc(-c2sc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2C)c2nc3c4ccccc4c4ccccc4c3nc21,
Cc1ccc(-c2ccc(-c3cc(F)c(-c4cc5c(s4)-c4sc(-c6c7nsnc7c(-c7ccc(-c8ccc(C)s8)s7)cc6F)cc4[Si]5(C)C)c4nsnc43)s2)s1,1.55
C[Si]1(C)c2ccsc2-c2sc(-c3cccc4nonc43)cc21,
Cc1nc2c(nc1C)c(-c1ccc(-c3ccc4c5ccccc5n(C)c4c3)s1)sc2-c1cccs1,1.515
Cc1cc2c3cc(C)sc3c3nc4c(cccc4-c4ccc(-c5ccc6c(c5)C(C)(C)c5cc(-c7cccs7)ccc5-6)s4)nc3c2s1,
CC1(C)c2ccccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5cccs5)c5c4=NC(c4ccccc4)C(c4ccccc4)N=5)s2)cc1C3(C)C,2.0
Cc1cc(-c2cc(C)c(C3=S=CC=C3)s2)sc1-c1ccc(-c2cccc3nsnc32)s1,1.59
COc1c2ccsc2c(OC)c2cc(-c3scc4cc(C(C)=O)sc43)sc21,1.605
C#Cc1sc(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc23)c(C)c1C,1.585
COc1ccc(C#Cc2ccc(C#Cc3ccc(-c4ccc(-c5ccc(C#Cc6ccc(C#Cc7ccc(OC)c(OC)c7)cc6)s5)c5nsnc54)s3)cc2)cc1OC,1.9
COC(=O)c1sc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2c1F,1.68
Cc1csc(-c2nnc(-c3cc(C)c(-c4cc5c(s4)-c4sccc4[Si]5(C)C)s3)nn2)c1,1.65
Cc1ccc(-c2c3ccsc3c(-c3ccc(C)s3)c3cc(-c4scc5cc(S(C)(=O)=O)sc54)sc32)s1,1.61
CN1C(=O)C2=C(c3ccc(C#Cc4cc5ccccc5c5ccccc45)s3)N(C)C(=O)C2=C1c1ccc(C#Cc2cc3ccccc3c3ccccc23)s1,1.61
Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1,1.59
COC(=O)c1cc2csc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4-c3ccc(C)s3)c2s1,1.58
Cc1ccc(-c2ccc(-c3cnc(-c4cc5c(s4)-c4sc(-c6ncc(-c7ccc(-c8ccc(C)s8)s7)c7nsnc76)cc4[Si]5(C)C)c4nsnc43)s2)s1,1.5
Cc1csc(-c2c3nsnc3c(-c3cc(C)c(-c4cc5c(s4)c(C)c4ccsc4c5C)s3)c(F)c2F)c1,
Cc1ccsc1-c1sc(-c2sc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2C)c2nc3c(nc21)-c1cccc2cccc-3c12,
C=Cc1cc(OC)c(C=Cc2cc(C=C(C#N)c3ccc([N+](=O)[O-])cc3)ccc2C=C(C#N)c2ccc([N+](=O)[O-])cc2)cc1OC,1.64
COc1ccc(C=Cc2ccc(C=Cc3cc(C)c(C=Cc4ccc(C=Cc5cc(C)c(C=Cc6ccc(C=Cc7cc(C)c(C=O)cc7C)s6)cc5C)s4)cc3C)s2)cc1,
COc1c2cc(-c3cc4c(s3)-c3sc(-c5nc6sc(-c7cc8c(s7)-c7sccc7[Si]8(C)C)nc6s5)cc3[Si]4(C)C)sc2c(OC)c2ccsc21,1.77
Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nccnc45)s3)cc21,
COC(=O)c1cc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2s1,1.605
Cc1cc(C)c(-c2c3cc(-c4ccc(-c5ccc(-c6cccs6)c6nsnc65)s4)sc3c(-c3sc(C)cc3C)c3ccsc32)s1,1.75
COC(=O)c1cc2c(-c3cccs3)sc(-c3ccc(-c4cc5c(s4)c(-c4cc(F)c(C)s4)c4ccsc4c5-c4cc(F)c(C)s4)s3)c2s1,1.64
C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc21)c1ccc(N(c2ccccc2)c2ccccc2)cc1,
Cc1ccc(-c2c3cc(-c4ccc(C5=C6C(=O)N(C)C(c7cccs7)=C6C(=O)N5C)s4)sc3c(-c3ccc(C)cc3)c3ccsc32)cc1,1.46
COc1ccc(-c2nc3c(nc2-c2ccc(OC)cc2)c(-c2ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s2)sc3-c2cccs2)cc1,
COc1c2ccsc2c(OC)c2cc(-c3cc(C)c(-c4sc(-c5sccc5C)c5c4C(=O)N(C)C5=O)s3)sc21,1.87
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6cccs6)c6nsnc65)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1.7
CN1C(=O)C2=C(c3cc4sc(-c5cccs5)cc4s3)N(C)C(=O)C2=C1c1cc2sccc2s1,
Cc1cc[se]c1,1.6
COc1c2ccsc2c(OC)c2c1=S=C(c1sc(-c3sc(-c4nc(C)c(-c5cc(C)cs5)s4)nc3C)cc1C)C=2,1.94
Cc1nc(-c2nc(C)c(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)sc1-c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,2.21
COc1c2ccsc2c(OC)c2cc(-c3sc(-c4scc5c4C4C=CC5CC4(C)C)c4c3C3C=CC4C(C)(C)C3)sc21,2.4
COc1c2cc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)sc2c(OC)c2ccsc21,1.38
Cc1csc(-c2ccc(C3=C4C(=O)N(C)C(c5ccc(-c6cc(C)cs6)s5)=C4C(=O)N3C)s2)c1,1.4
CC1(C)c2ccccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc54)s2)cc1C3(C)C,1.97
Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,1.88
Cc1ccc(-c2nc3cccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5cc(-c7cccs7)ccc5-6)s4)c3nc2-c2ccc(C)s2)s1,
Cn1c2cc(C=C(C#N)C#N)sc2c2sc(C=C(C#N)C#N)cc21,2.0
C=Cc1sccc1C(=O)OC,1.7
Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4cc(C)c(C)s4)c4ccsc4c5-c4cc(C)c(C)s4)s3)c3nsnc32)c1,1.73
Cc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c7ccccc7n(C)c6c5)s4)c3nc2-c2ccc(C)s2)s1,
C=Cc1cc(OC)c(C=Cc2ccc(N(c3ccccc3)c3ccc(C=C(C#N)c4ccc([N+](=O)[O-])cc4)cc3)cc2)cc1OC,1.68
O=C1c2ccccc2C(=O)C1=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1,
C[Si]1(C)c2ccsc2-c2sc(-c3cccc4nsnc43)cc21,1.37
COC(=O)c1cc2csc(-c3ccc(-c4ccc(-c5sccc5C)s4)s3)c2s1,1.27
C=Cc1ccc2c3ccc(C=Cc4cccs4)cc3n(-c3ccc(OC)cc3)c2c1,2.6
COc1cccc2c1ccc(-c1ccc(-c3ccc(-c4cccs4)c4nsnc43)s1)c2OC,1.856666667
COc1csc2c1C(C)(C)c1cc(-c3scc4c3C(=O)N(C)C4=O)sc1-2,1.67
Cc1c2ccsc2c(C)c2cc(-c3ccc(-c4cnc(-c5cccs5)c5nsnc54)s3)sc21,
Cc1nc(-c2nc(C)c(-c3ccc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)s3)s2)sc1-c1cccs1,1.85
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)c7nsnc76)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1.76
COc1c2sccc2c2cc(-c3cc(C)c(-c4nc5sc(-c6sccc6C)nc5s4)s3)sc2c1OC,1.91
CN1C(=O)C2=C(c3ccc(-c4cc5ccccc5o4)s3)N(C)C(=O)C2=C1c1ccc(-c2cc3ccccc3o2)s1,
COc1ccsc1-c1sc(-c2scc3c2C(=O)N(C)C3=O)cc1OC,1.5
COc1ccsc1-c1ccc(-c2sc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2OC)c2nsnc21,1.64
Cc1ccsc1-c1ccc(-c2sc(-c3ccc4c(c3)N(C)C(=O)C4=C3c4ccccc4N(C)C3=O)cc2C)s1,1.5
COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(C=C(C#N)C(=O)OC)cc5C)cc4C)s3)s2)s1,1.8
Cn1c2ccccc2c2ccc(-c3ccc(-c4cnc(-c5cccs5)c5nonc54)s3)cc21,1.67
Cc1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)sc1-c1cnc(-c2ncc(-c3sc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3C)s2)s1,2.22
COc1ccc(-c2nc3c(-c4scc5c4OCCO5)ccc(-c4sc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)c5c4OCCO5)c3nc2-c2ccc(OC)cc2)cc1,1.9
Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21,2.0
Cc1ccsc1C1=NC2SC(c3sc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)cc3C)=NC2S1,1.8
Cc1ccc(-c2c3ccsc3c(-c3ccc(C)s3)c3cc(-c4ccc(C5=C6C(=O)N(C)C(c7cccs7)=C6C(=O)N5C)s4)sc32)s1,1.445
CC1(C)c2ccsc2-c2sc(-c3c4nsnc4cc(F)c3F)cc21,1.51
CN1C(=O)C2=C(c3ccc(-c4ccccc4)s3)N(C)C(=O)C2=C1c1cccs1,1.53
C#Cc1cc2c(s1)c1sc(C#Cc3scc4nc(-c5ccccc5)c(-c5ccccc5)nc34)cc1n2C,
C#Cc1cc2c(s1)c1sc(C#Cc3cccc4nsnc43)cc1n2C,
Cc1cc2c3ccsc3c3sc(-c4ccc(-c5cnc(-c6cccs6)c6nsnc65)s4)cc3c2cc1C,
C(=Cc1cccc2nsnc21)c1ccc(N(c2ccc(C=Cc3cccc4nsnc43)cc2)c2ccc(C=Cc3cccc4nsnc43)cc2)cc1,
CC1(C)c2ccsc2-c2sc(-c3cccc4nsnc43)cc21,1.365
C[Si]1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21,1.99
Cc1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)sc1-c1nc2sc(-c3sc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3C)nc2s1,2.28
Cn1c2ccccc2c2ccc(-c3ccc(-c4sc(-c5cccs5)c5nc(-c6ccccc6)c(-c6ccccc6)nc54)s3)cc21,1.46
Cn1c2ccc(C=C(C#N)C#N)cc2c2cc(C=C(C#N)C#N)ccc21,2.5
COC(=O)C(C#N)=CC1=S=C(c2cc(C)c(-c3ccc(-c4sc(-c5sc(-c6ccc(-c7cc(C)c(-c8cc(C)c(-c9ccc(-c%10sc(C%11=S=C(C=C(C#N)C(=O)OC)C=C%11C)cc%10C)s9)s8)s7)c7nsnc76)cc5C)cc4C)s3)s2)C(C)=C1,1.6
Cc1c(-c2cccs2)sc2c(C)c(-c3ccc(-c4scc5c4C(=O)N(C)C5=O)s3)sc12,1.84
C#Cc1cc2c(s1)-c1sc(C#Cc3scc4nc(-c5ccccc5)c(-c5ccccc5)nc34)cc1C2(C)C,
CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C6=C(c7ccccc7)C(c7ccccc7)=C(c7ccc(-c8ccc(C9=S=CC=C9)s8)s7)[Si]6(C)C)s5)s4)s3)cc21,1.95
CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21,1.98
Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)c3nsnc32)c1,1.63
Cc1csc(-c2nc3sc(-c4cc(C)c(-c5cc6c(s5)-c5sccc5[Si]6(C)C)s4)nc3s2)c1,1.76
COc1c2ccsc2c(OC)c2cc(-c3ccc(-c4sc(-c5cccs5)c5c4C(=O)N(C)C5=O)s3)sc21,1.84
COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4cc5c(s4)c(OC)c4cc(-c6cc(C)c(-c7ccc(-c8sc(C=C(C#N)C(=O)OC)cc8C)s7)s6)sc4c5OC)cc3C)s2)s1,1.84
COc1c2cc(-c3cc4c(s3)-c3sc(C5=NC6SC(c7cc8c(s7)-c7sccc7[Si]8(C)C)=NC6S5)cc3[Si]4(C)C)sc2c(OC)c2ccsc21,1.77
Cc1cc(-c2ccc(-c3cc(C)c(-c4cccs4)s3)c3nsnc32)sc1-c1cccs1,1.65
Cn1c2ccccc2c2ccc(-c3ccc(-c4cnc(-c5cccs5)c5nccnc45)s3)cc21,1.89
Cc1ccc(-c2c3ccsc3c(-c3ccc(C)s3)c3cc(-c4ccc(-c5nc6sc(-c7cccs7)nc6s5)s4)sc32)s1,2.0
COCc1sc2c(csc2-c2cc3c(s2)c(OC)c2ccsc2c3OC)c1F,1.6
CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5c4=NC(c4ccccc4)C(c4ccccc4)N=5)s3)cc21,2.0
COc1c2cc(-c3cccs3)sc2c(OC)c2cc(-c3ccc(-c4ccc5c(c4)N(C)C(=O)C5=C4c5ccccc5N(C)C4=O)s3)sc21,1.61
Cc1ccc(-c2c3cc(-c4sc5cc(-c6ccc(-c7csc8c(C)csc78)c7nsnc76)sc5c4C)sc3c(-c3ccc(C)s3)c3ccsc32)s1,1.65
C=Cc1ccc2c3ccc(C=Cc4sc(-c5ccc(-c6ccc(-c7cc(C)cs7)s6)s5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1,2.44
Cc1ccsc1-c1nc2sc(-c3sc(-c4ccc5c6ccccc6n(C)c5c4)cc3C)nc2s1,2.07
COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(-c5ccc(C)s5)c5ccsc5c6-c5ccc(C)s5)s4)c3nc2-c2cccc(OC)c2)c1,1.67
Cn1c2ccsc2c2sc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,1.46
CC(=O)c1cc2c(csc2-c2cc3c(s2)c(C)c2ccsc2c3C)s1,1.63
C(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2ccc(-c3ccc(C=Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)c3nsnc32)s1,
C=Cc1cc(OC)ccc1OC,
CN1C(=O)C2=C(c3ccc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)s3)N(C)C(=O)C2=C1c1cccs1,1.29
CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2cccc4nsnc42)cc1C3(C)C,
Cc1csc(C2=NC3SC(c4cc(C)c(-c5cc6c(s5)-c5sccc5[Si]6(C)C)s4)=NC3S2)c1,1.76
C=Cc1ccc2c3ccc(C=Cc4sc(-c5cc(C)cs5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1,2.47
Cc1csc(-c2cc(-c3ccc(C)s3)c(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)s2)c1,1.29
Cc1ccsc1-c1sc(-c2sc(C3=S=C(c4sccc4C)C(C)=C3)cc2C)c2nc3c(nc21)-c1cccc2cccc-3c12,
Cc1csc(-c2sc(-c3nc4cc5sc(-c6cc(C)c(-c7cc(C)cs7)s6)nc5cc4s3)cc2C)c1,2.2
COC(=O)c1sc2c(csc2-c2cc3c(s2)c(OC)c2ccsc2c3OC)c1F,1.63
Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6sccc6C(C)(C)C5=C4)s3)s2)sc1-c1cccs1,1.84
COc1c2ccsc2c(OC)c2cc(-c3scc4c3C(=O)N(C)C4=O)sc21,1.83
Cc1nc(-c2nc(C)c(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s3)s2)sc1-c1cccs1,2.21
COC(=O)c1sc2c(-c3ccc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)sc(-c3cccs3)c2c1F,1.66
COc1ccc(C#Cc2ccc(-c3ccc(-c4ccc(C#Cc5ccc(OC)c(OC)c5)s4)c4nsnc43)s2)cc1OC,1.9
COc1cc2c3ccsc3c3sc(-c4cccc5nsnc54)cc3c2cc1OC,1.63
Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)cc4)c4ccsc4c5-c4ccc(C)cc4)s3)c3nsnc32)c1,1.7
COc1c2cc(C)sc2c(OC)c2cc(-c3ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)N(C)C5=O)s3)sc21,1.84
CN1c2ccccc2C(=C2c3ccc(-c4cccs4)cc3N(C)C2=O)C1=O,
COc1cc(OC)cc(-c2nc3c(nc2-c2cc(OC)cc(OC)c2)c(-c2cccs2)sc3-c2cccs2)c1,1.2
Cc1ccsc1-c1ccc(-c2sc(-c3nc(C)c(-c4ccc(C5=S=C(c6cc7c(s6)-c6sccc6[Si]7(C)C)C=C5C)s4)s3)nc2C)s1,1.89
CC1(C)c2ccccc2-c2ccc(-c3ccc(N(c4ccccc4)c4ccc(C=Cc5ccc(C=C(C#N)C#N)s5)cc4)cc3)cc21,1.9
COc1c(OC)c(-c2ccc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4C3=S=C(C)C=C3)s2)c2nsnc2c1-c1cccs1,1.79
Cc1ccsc1-c1nnc(-c2sc(-c3cc4c(s3)-c3sccc3C4(C)C)cc2C)nn1,1.715
Cc1csc(-c2sc(-c3cc(C)c(-c4cccs4)s3)c3sc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc23)c1,1.62
CC(=O)c1cc2csc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4-c3ccc(C)s3)c2s1,1.58
COc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c7ccccc7n(C)c6c5)s4)c3nc2-c2ccc(OC)cc2)cc1,
CN1C(=O)C2=C(c3ccc(-c4ccco4)o3)N(C)C(=O)C2=C1c1ccco1,1.35
CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4nnc(-c5cccs5)nn4)s2)cc1C3(C)C,1.82
CN1C(=O)C2=C(c3ccc(-c4cc5ccccc5c5ccccc45)s3)N(C)C(=O)C2=C1c1ccc(-c2cc3ccccc3c3ccccc23)s1,1.77
CC1(C)c2ccsc2-c2sc(-c3ccc(-c4nc5sc(-c6cccs6)nc5s4)s3)cc21,1.79
COc1c2cc(-c3cc(C)c(-c4ccc(-c5sc(C=C6SC(=S)N(C)C6=O)cc5C)s4)s3)sc2c(OC)c2cc(-c3cc(C)c(-c4ccc(-c5sc(C=C6SC(=S)N(C)C6=O)cc5C)s4)s3)sc21,1.74
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5cccs5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,2.11
COC(=O)c1cc2csc(-c3cccs3)c2s1,1.22
c1csc(-c2cc(-c3cccs3)c(-c3cccs3)s2)c1,
c1csc(-c2ccsc2-c2cccs2)c1,
COC(=O)c1cc2csc(-c3cc4c(s3)c(C)c3ccsc3c4C)c2s1,1.6
Cc1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6ccc(-c7ccc(C8=S=C(C)C=C8)s7)s6)=C5C(=O)N4C)s3)s2)s1,
Cn1c2ccccc2c2ccc(-c3ccc(-c4nnc(-c5cccs5)c5nonc54)s3)cc21,1.57
C=Cc1ccc2c3ccccc3n(-c3ccc(OC)cc3)c2c1,2.78
CN1c2ccccc2C(=C2c3ccc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)cc3N(C)C2=O)C1=O,
COc1c2ccsc2c(OC)c2cc(-c3sc(-c4ccc(-c5cc(C)cs5)c5nsnc54)cc3C)sc21,1.72
COc1c2ccsc2c(OC)c2cc(-c3scc4sc(S(C)(=O)=O)cc43)sc21,
